"Item","Purpose","#","Cost","Supplier","Link"
"Raspberry Pi Camera Module","Camera","1","$10.03","Aliexpress","https://www.aliexpress.us/item/3256809071934284.html?src=google&src=google&albch=shopping&acnt=179-224-6891&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256809071934284&ds_e_product_merchant_id=5315891712&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=23114515373&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23118775333&gbraid=0AAAABBR8xIcrQLgFunyi57RKTClmv6xG3&gclid=Cj0KCQjwi8nRBhDhARIsAHZf_pbjQYj-lGMle_jaqby2IfcIaV8A6uxaKe-_nip37vx9dInj1OQMoYQaAg6WEALw_wcB&gatewayAdapt=glo2usa"
"USB 58mm Mini Embedded Thermal Printer","Printer","1","$24.03","Aliexpress","https://www.aliexpress.us/item/3256809438791938.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.10.7a5505yB05yBVm&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=485fb421-6cee-4931-9049-d3d68824f35f&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A485fb421-6cee-4931-9049-d3d68824f35f%2Ctpp_buckets%3A668%232846%238112%231997&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%2124.53%2124.03%21%21%21165.06%21161.70%21%402103128817818023235271705ecafb%2112000049670701004%21rec%21US%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d07d826%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009625106690%7C_p_origin_prod%3A"
"Raspberry Pi Zero 2W","Microcontroller","1","$19.05","Adafruit","https://www.adafruit.com/product/5291"
"Raspberry Pi Zero Camera Cable","Camera Cable","1","$1.27","Aliexpress","https://www.aliexpress.us/item/3256809503403005.html?spm=a2g0o.productlist.main.1.501cW4YlW4YlIV&algo_pvid=c12641fc-679f-4482-b681-14d09ec5082d&algo_exp_id=c12641fc-679f-4482-b681-14d09ec5082d-0&pdp_ext_f=%7B%22order%22%3A%22208%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.27%210.99%21%21%218.52%216.66%21%402103126e17817507211756665e0e0d%2112000049868286694%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d07d826%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262921&curPageLogUid=9xxca3IriSpF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009689717757%7C_p_origin_prod%3A"
"Micro-USB to USB-A","Adapter","1","$3.99","Microcenter","https://www.microcenter.com/product/624026/inland-micro-usb-(type-b)-male-to-usb-20-(type-a)-female-slim-otg-adaptor-for-smartphone-or-tablet-6-in-black"
"16GB Micro SD Card","SD Card","1","$4.71","Aliexpress","https://www.aliexpress.us/item/2251832813194768.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.12634QPD4QPDQG&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=42081a62-67cc-44bf-babd-02e3a629096b&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A42081a62-67cc-44bf-babd-02e3a629096b%2Ctpp_buckets%3A668%232846%238109%231935&pdp_ext_f=%7B%22order%22%3A%22363%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%213.60%210.99%21%21%213.60%210.99%21%402101ea8c17817975128228742e57be%2112000057520757665%21rec%21US%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A3d07d826%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262921&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A32999509520%7C_p_origin_prod%3A"
"5V 3A Raspberry Pi Power Supply","Charging","1","$3.89","Aliexpress","https://www.aliexpress.us/item/2251832620044216.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en2251832620044216&ds_e_product_merchant_id=107329050&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hEeUD-CKJzMQtpAUYGC9USSI&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD1FZIDJlg1J1XpB1dHPRiGRXoXCNrCRUjPJ1fKPfppf6vG2-vY07MQaAuWuEALw_wcB&gatewayAdapt=glo2usa"
"3.5 Inch Mini HDMI Monitor LCD Screen 480*320","Screen","1","$25.48","Aliexpress","https://www.aliexpress.us/item/3256803762052188.html?spm=a2g0o.productlist.main.1.48f53k3g3k3gmd&algo_pvid=2c4d8398-cce3-42d7-9893-1ecfff2a8022&algo_exp_id=2c4d8398-cce3-42d7-9893-1ecfff2a8022-0&pdp_ext_f=%7B%22order%22%3A%2260%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2138.44%2125.48%21%21%21258.71%21171.51%21%40210319b017817989544117672e2e9d%2112000027539150796%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d07d826%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262906&curPageLogUid=MvIJ7yAstgl0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003948366940%7C_p_origin_prod%3A"
"Cherry MX Switch","Shutter Button","1","Owned (OG Price $3.19)","Aliexpress","https://www.aliexpress.us/item/3256805881801670.html?spm=a2g0o.productlist.main.3.6ea02464SuUwUB&algo_pvid=c1befc97-17b6-40ae-9537-e36d4a878556&algo_exp_id=c1befc97-17b6-40ae-9537-e36d4a878556-2&pdp_ext_f=%7B%22order%22%3A%22463%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.19%210.99%21%21%2121.47%216.67%21%40210328c017817994280254692ecff7%2112000036726676337%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5ad2bf3%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262921&curPageLogUid=bUxzhrcXxo5S&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006068116422%7C_p_origin_prod%3A&_gl=1*wxxt07*_gcl_aw*R0NMLjE3ODE3OTk0MzEuQ2owS0NRandyczdSQmhEdUFSSXNBSVZmQkQxWEM2OWt6VG9sSGxLMjczVFpKNFkxZ1ZyblR3SGctOTBScExDMGVDT1JqVmlCQzh5Q0xqY2FBaTVRRUFMd193Y0I.*_gcl_dc*R0NMLjE3ODE3OTk0MzEuQ2owS0NRandyczdSQmhEdUFSSXNBSVZmQkQxWEM2OWt6VG9sSGxLMjczVFpKNFkxZ1ZyblR3SGctOTBScExDMGVDT1JqVmlCQzh5Q0xqY2FBaTVRRUFMd193Y0I.*_gcl_ag*Mi4xLmswQUFBQUFEeDlKdlF3el9kY05ROHhQVkFfUzNaek1QWWJ0JGkxNzgxMjA2ODY1*_gcl_au*MTczMjcyMzY2MS4xNzgwMDc1MDcx*_ga*OTI3ODgwMTQ2MTkzMTUxLjE3NjY3MjAwNzk4MjQ.*_ga_VED1YSGNC7*czE3ODE3OTk0MzAkbzIxJGcwJHQxNzgxNzk5NDMwJGo2MCRsMCRoMA"
"3/32 Self Tapping Plastic Screws","Screw","1","$0.92","Aliexpress","https://www.aliexpress.us/item/3256807955659503.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256807955659503&ds_e_product_merchant_id=603115374&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hGBc_WwQ-74FUbdnXkQ5ZE7n&gclid=CjwKCAjw9NjRBhATEiwA_p2J8VpHjrWEF-Lnfn3GuUYU5IIsFnQsYf2p_l8cz96jUCdK8qp6nGh7rRoCrCUQAvD_BwE&gatewayAdapt=glo2usa"
